DATE,USER_ID,AGE,GENDER,TYPE,CREDIT_SCORE,LIFETIME,PAYMENT_METHOD,TURNOVER,SENDBACK,VIDEO_AD,CONVERTED
2023-10-02,cardiB,27,female,,3,8,bank transfer,44,FALSE,FALSE,0
2023-10-02,natalie_hershlag,42,female,,4,10,BNPL,34,FALSE,FALSE,0
2023-10-02,babe_ruth,48,male,1,2,12,BNPL,34,FALSE,FALSE,0
2023-10-02,homlesspistachio,60,male,1,5,9,paypal,500,FALSE,FALSE,0
2023-10-02,chrstian_hauff,93,male,1,5,12,credit card,43,FALSE,TRUE,0
2023-10-02,marc_sinclair,36,male,1,4,5,bank transfer,47,FALSE,TRUE,1
2023-10-03,ron_swanson76,56,male,,5,12,BNPL,286,FALSE,TRUE,0
2023-10-03,fred_firestone,35,male,1,5,11,BNPL,48,FALSE,TRUE,0
2023-10-03,amanda_missinger,24,female,1,5,5,paypal,625,FALSE,TRUE,0
2023-10-03,marc_sinclair,36,male,1,4,5,bank transfer,40,FALSE,TRUE,0
2023-10-03,fred-johnson,37,male,1,4,11,paypal,42,FALSE,FALSE,0
2023-10-04,jessica_jones,27,female,,4,2,credit card,31,FALSE,TRUE,0
2023-10-04,dorothy_parker,56,female,,3,8,paypal,32,FALSE,FALSE,0
2023-10-04,dustybatter,28,male,1,4,4,credit card,42,FALSE,TRUE,0
2023-10-04,usurpgam,48,male,1,5,8,paypal,41,FALSE,FALSE,0
2023-10-04,marc_sinclair,36,male,1,4,5,bank transfer,306,FALSE,FALSE,0
2023-10-04,tombishop,25,female,1,1,0,BNPL,502,FALSE,TRUE,1
2023-10-05,cardiB,27,female,,3,8,bank transfer,39,FALSE,FALSE,0
2023-10-05,natalie_hershlag,42,female,,4,10,BNPL,444,FALSE,TRUE,0
2023-10-05,terraforming_mars,54,male,1,5,12,BNPL,40,FALSE,TRUE,0
2023-10-05,helmut_weissinger,27,male,1,2,9,paypal,39,FALSE,TRUE,0
2023-10-05,julianne1,47,female,1,2,11,bank transfer,35,FALSE,FALSE,1
2023-10-05,xiao_peng_peng,29,female,1,5,11,credit card,423,FALSE,FALSE,1
2023-10-06,ron_swanson76,56,male,,5,12,BNPL,293,FALSE,FALSE,0
2023-10-06,dorothy_parker,56,female,,3,8,paypal,51,FALSE,FALSE,1
2023-10-06,marylin2,23,female,,5,4,paypal,367,FALSE,FALSE,1
2023-10-06,dianehall,26,female,,1,1,BNPL,385,FALSE,TRUE,0
2023-10-06,julian22,54,male,1,3,9,bank transfer,50,FALSE,FALSE,0
2023-10-06,terraforming_mars,54,male,1,5,12,BNPL,35,FALSE,FALSE,0
2023-10-06,tombishop,25,female,1,1,0,BNPL,42,FALSE,FALSE,0
2023-10-06,Duc_le_vu,88,male,1,2,12,bank transfer,44,FALSE,FALSE,0
2023-10-07,michaelbertolina,35,male,,3,1,paypal,38,FALSE,FALSE,1
2023-10-07,dustybatter,28,male,1,4,4,credit card,198,FALSE,TRUE,0
2023-10-07,julian22,54,male,1,3,9,bank transfer,35,FALSE,TRUE,0
2023-10-08,ron_swanson76,56,male,,5,12,BNPL,296,FALSE,FALSE,0
2023-10-08,babe_ruth,48,male,1,2,12,BNPL,45,FALSE,TRUE,0
2023-10-08,volkswagen1,34,male,1,4,7,credit card,47,FALSE,TRUE,1
2023-10-08,chrstian_hauff,93,male,1,5,12,credit card,38,FALSE,FALSE,1
2023-10-08,bruce_besson1,32,male,1,4,5,bank transfer,37,FALSE,TRUE,0
2023-10-08,jennifer_linn,28,female,1,4,9,BNPL,46,FALSE,FALSE,0
2023-10-08,frederic_larousee,38,male,1,4,10,BNPL,39,FALSE,TRUE,0
2023-10-09,dorothy_parker,56,female,,3,8,paypal,43,FALSE,FALSE,0
2023-10-09,julian22,54,male,1,3,9,bank transfer,300,FALSE,TRUE,0
2023-10-09,catesby_harington,30,male,1,4,0,paypal,37,FALSE,TRUE,1
2023-10-10,dianehall,26,female,,1,1,BNPL,544,FALSE,TRUE,0
2023-10-10,eilleen_brown,53,female,1,4,12,paypal,373,FALSE,FALSE,0
2023-10-10,eatonline,36,male,1,5,9,credit card,49,FALSE,FALSE,0
